image_name,gps_timestamp,gps_week,yaw,pitch,roll
DSC00994.JPG,554247.088733,2234,70,-3.8,2.8
DSC00995.JPG,554248.723963,2234,76.8,-4.7,3.4
DSC00996.JPG,554250.358666,2234,77.3,-2.9,1.1
DSC00997.JPG,554251.961702,2234,80.6,-1.5,-0.4
DSC00998.JPG,554252.694608,2234,81.2,-1.7,-2.5
DSC00999.JPG,554254.295926,2234,76.2,-2.6,-1.3
DSC01000.JPG,554255.864753,2234,72.1,-3,1.2
DSC01001.JPG,554257.499412,2234,73.5,-3.8,3.5
DSC01002.JPG,554259.167758,2234,73,-5.2,0.3
DSC01003.JPG,554260.803,2234,72.5,-6.8,5
DSC01004.JPG,554262.40554,2234,77.7,-5.6,2.9
DSC01005.JPG,554263.905525,2234,72.7,-4.8,0.5
DSC01006.JPG,554265.40706,2234,81.8,-5.6,2.2
DSC01007.JPG,554266.908394,2234,78,-1.5,-0.6
DSC01008.JPG,554267.642853,2234,78.1,-0.7,-2.7
DSC01009.JPG,554269.211385,2234,76.7,0,6.5
DSC01010.JPG,554270.779064,2234,80.3,1.3,-1.4
DSC01011.JPG,554272.347379,2234,83,0.6,6.1
DSC01012.JPG,554273.915574,2234,85.2,2.5,-0.4
DSC01013.JPG,554275.450569,2234,81.9,1.8,-6.1
DSC01014.JPG,554276.952296,2234,81.4,3.3,-2.1
DSC01015.JPG,554278.453743,2234,80.6,3.6,-1.5
DSC01016.JPG,554279.922059,2234,79.9,4.3,-0.8
DSC01017.JPG,554281.423338,2234,80.3,2.8,1.4
DSC01018.JPG,554282.8915,2234,82.7,5.8,2
DSC01019.JPG,554294.553419,2234,-96,2.5,-4.4
DSC01020.JPG,554296.338108,2234,-98.8,2.4,1.5
DSC01021.JPG,554298.139887,2234,-97.4,1.9,5.1
DSC01022.JPG,554300.008623,2234,-93.8,0.2,0.9
DSC01023.JPG,554301.843935,2234,-89.8,1.8,4.6
DSC01024.JPG,554303.712191,2234,-95.2,1,2
DSC01025.JPG,554305.51414,2234,-95,0.8,-4.3
DSC01026.JPG,554307.31572,2234,-107.9,0.2,-5.4
DSC01027.JPG,554309.151326,2234,-99.5,-3.3,5.2
DSC01028.JPG,554310.952851,2234,-97.4,-3.4,2.7
DSC01029.JPG,554312.72122,2234,-97.2,-3.1,1
DSC01030.JPG,554313.455368,2234,-95.8,-3.1,2.6
DSC01031.JPG,554315.156929,2234,-92.8,-2.6,0.7
DSC01032.JPG,554316.825441,2234,-92.1,-2.3,-0.8
DSC01033.JPG,554318.52749,2234,-96.4,-2.4,-1.8
